TransactionID,visitorType,visitLength,medium,city,hour,isMobile,itemQuantity,visitsToTransaction,daysToTransaction,month,Is_holiday,Is_gift,transactionRevenue.y,cMinPrice,cMaxPrice,cSumPrice,bMinPrice,bMaxPrice,bSumPrice,label
14825,Returning Visitor,-0.265793461,organic,Dubai,0.682068945,No,-0.446841631,1.079508925,1.046608227,1.035001553,1,1,-0.632063574,-0.373732416,-0.312763708,-0.096840609,0.171353101,-0.097079844,-0.308913899,0
14826,Returning Visitor,-0.023554448,(none),Gainesville,0.955846337,Yes,0.951710384,-0.02376064,0.004975556,1.035001553,1,1,1.049966081,-0.373732416,-0.312763708,-0.085428982,0.171353101,-0.097079844,-0.308913899,1
14827,Returning Visitor,-0.98815653,organic,Kuwait City,1.092735032,Yes,-0.446841631,0.389965447,-0.230865803,1.035001553,1,1,-0.535327126,-0.373732416,-0.312763708,-0.085428982,0.171353101,-0.097079844,-0.308913899,0
14828,Returning Visitor,-0.58204995,(none),Ottawa,1.229623728,No,-0.446841631,1.148463273,0.614232401,1.035001553,1,0,0.338722869,-0.373732416,-0.283853577,-0.072880189,0.171353101,-0.097079844,-0.308913899,0
14829,New Visitor,1.14528837,organic,Bochum,1.229623728,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.339880019,-0.373732416,-0.283853577,-0.072880189,0.171353101,-0.097079844,-0.308913899,1
14830,Returning Visitor,-0.691294995,organic,Charleston,-0.960595405,No,-0.446841631,0.286533925,-0.034331337,1.035001553,1,0,-0.267919947,-0.347842059,-0.404556972,-0.204429585,0.171353101,-0.097079844,-0.308913899,0
14831,Returning Visitor,-0.813206132,referral,New York,-0.686818014,No,-0.446841631,0.252056751,-0.053984784,1.035001553,1,1,-0.29776347,-0.356358624,-0.180179831,-0.160374655,0.171353101,-0.097079844,-0.308913899,0
14832,New Visitor,-0.006930202,referral,Poughkeepsie,-0.413040622,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.609985289,-0.356358624,-0.180179831,-0.145170189,0.171353101,-0.097079844,-0.308913899,0
14834,Returning Visitor,1.430671259,organic,Chicago,-0.13926323,No,0.252434377,-0.299578032,-0.30947959,1.035001553,1,0,0.303812198,-0.356358624,-0.180179831,-0.142090934,-0.389224756,-0.519684011,-0.516433642,0
14835,Returning Visitor,-0.200879738,referral,Sydney,-0.13926323,No,0.951710384,1.217417621,0.240816916,1.035001553,1,0,0.350436534,-0.356358624,-0.180179831,-0.142090934,-0.389224756,-0.519684011,-0.516433642,0
14836,Returning Visitor,-0.051261525,(none),Hyderabad,-0.002374534,No,-0.446841631,-0.127192162,-0.289826143,1.035001553,1,1,-0.73814463,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.461115337,1
14837,Returning Visitor,1.361403567,(none),Pune,-0.002374534,Yes,0.252434377,0.010716534,-0.270172697,1.035001553,1,1,0.490605672,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.433470022,0
14838,Returning Visitor,-0.827455485,(none),Hyderabad,0.134514162,No,-0.446841631,-0.092714988,-0.289826143,1.035001553,1,1,-0.78499929,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.378151717,0
14839,Returning Visitor,0.721370098,organic,Cleveland,0.408291553,Yes,0.252434377,-0.299578032,-0.30947959,1.035001553,1,0,0.42808892,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.350506401,0
14840,Returning Visitor,1.377236183,organic,Alesund,0.818957641,Yes,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.596790964,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.314559188,0
14841,Returning Visitor,1.377236183,organic,Alesund,0.955846337,Yes,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,0,-0.337774191,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.314559188,0
14842,Returning Visitor,0.829427696,organic,Kiel,0.955846337,No,2.3502624,-0.265100858,-0.30947959,1.035001553,1,1,2.995882235,-0.356358624,-0.180179831,-0.141407036,-0.389224756,-0.435208261,-0.314559188,0
14845,Returning Visitor,-0.751854748,organic,(not set),1.366512424,No,-0.446841631,-0.161669336,-0.270172697,1.035001553,1,1,-0.234095094,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.266144053,-0.176221917,0
14846,Returning Visitor,-0.414620044,organic,Ajax,-1.371261493,No,-0.446841631,-0.230623684,-0.171905463,1.035001553,1,1,-0.208364515,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,1
14847,New Visitor,-0.655275795,organic,Placentia,-1.371261493,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,0,-0.77499661,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,0
14848,Returning Visitor,-0.636276657,referral,Riyadh,-1.371261493,No,-0.446841631,-0.265100858,-0.270172697,1.035001553,1,1,0.145776431,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,0
14850,Returning Visitor,-0.662796287,organic,St. Louis,-1.234372797,No,-0.446841631,-0.265100858,-0.30947959,1.035001553,1,1,-0.498475146,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,0
14851,Returning Visitor,0.26618241,(none),Riyadh,-1.234372797,No,1.650986392,-0.19614651,-0.014677891,1.035001553,1,1,1.410589027,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,0
14853,Returning Visitor,-0.538510258,organic,Vacaville,-0.686818014,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.404370983,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,0
14854,Returning Visitor,1.766322702,referral,Toronto,-0.276151926,No,0.252434377,-0.265100858,-0.30947959,1.035001553,1,0,0.359649529,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,1
14855,Returning Visitor,0.138729858,referral,Prince George,-0.002374534,No,-0.446841631,-0.230623684,0.653539295,1.035001553,1,1,-0.691816427,0.282383734,-0.168673311,-0.180678102,-0.389224756,-0.040725108,0.072807309,0
14856,Returning Visitor,-0.441139674,(none),Surrey,-0.002374534,No,-0.446841631,0.079670882,-0.211212357,1.035001553,1,1,-0.299540262,-0.356273458,-0.370008646,-0.187867598,-0.389224756,-0.040725108,0.072807309,1
14859,New Visitor,0.557106715,(none),Austin,1.50340112,Yes,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.527430274,-0.356273458,-0.370008646,-0.185584131,-0.389224756,-0.040725108,0.072807309,0
14860,New Visitor,-0.527427427,organic,Nashik,-1.645038884,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,0,-0.901214641,-0.356273458,-0.370008646,-0.183301806,-0.389224756,-0.040725108,0.072807309,0
14862,Returning Visitor,-0.666754441,organic,Leicester,-1.645038884,No,-0.446841631,0.907123056,0.280123809,1.035001553,1,0,-0.372125501,-0.356273458,-0.370008646,-0.182161214,-0.052907943,-0.266144053,-0.391932865,1
14863,New Visitor,-0.939075423,organic,Los Angeles,-1.645038884,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,0,-0.154303977,-0.356273458,-0.370008646,-0.179878889,-0.052907943,-0.266144053,-0.391932865,0
14864,Returning Visitor,-0.539301889,(none),Durban,-1.508150189,Yes,-0.446841631,2.389641535,2.854725316,1.035001553,1,1,-0.023347834,-0.356273458,-0.370008646,-0.178738297,-0.052907943,-0.266144053,-0.391932865,0
14867,Returning Visitor,-0.2487734,organic,Paris,-1.371261493,Yes,-0.446841631,0.079670882,0.417697935,1.035001553,1,0,-0.495184791,-0.356273458,-0.370008646,-0.177255185,-0.052907943,-0.266144053,-0.391932865,0
14868,Returning Visitor,-0.80568564,organic,Denver,-1.097484101,Yes,-0.446841631,-0.265100858,-0.30947959,1.035001553,1,0,-0.468203877,-0.356273458,-0.370008646,-0.177255185,-0.052907943,-0.266144053,-0.391932865,0
14869,Returning Visitor,0.773221912,organic,San Diego,-1.097484101,No,-0.446841631,-0.230623684,-0.211212357,1.035001553,1,1,-0.452410172,-0.356273458,-0.370008646,-0.177255185,-0.052907943,-0.266144053,-0.391932865,0
14870,Returning Visitor,-0.354851921,(none),Bayonne,-0.823706709,Yes,-0.446841631,-0.19614651,-0.289826143,1.035001553,1,1,-0.077309662,-0.356273458,-0.283738512,-0.165840133,-0.052907943,-0.266144053,-0.391932865,0
14871,Returning Visitor,0.737202713,organic,Thunder Bay,-0.686818014,No,1.650986392,0.631305664,0.201510022,1.035001553,1,1,1.99034964,-0.356273458,-0.140482337,-0.133897854,-0.052907943,-0.266144053,-0.391932865,0
14872,Returning Visitor,-0.639047364,referral,Sydney,-0.002374534,No,-0.446841631,-0.265100858,-0.30947959,1.035001553,1,0,-0.657728345,-0.356273458,-0.140482337,-0.133897854,4.05854454,2.833366437,1.130081521,1
14874,Returning Visitor,-0.549593089,organic,Zurich,0.271402857,No,0.252434377,-0.127192162,0.083589343,1.035001553,1,1,0.468231255,-0.356273458,-0.140482337,-0.133897854,4.05854454,2.833366437,1.130081521,0
14877,Returning Visitor,-0.641818072,organic,Toronto,1.092735032,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.497817075,-0.356273458,-0.140482337,-0.133897854,-0.366873406,-0.502833945,-0.508159418,0
14878,Returning Visitor,1.999062145,referral,Kuwait City,1.092735032,No,1.650986392,0.045193708,0.181856576,1.035001553,1,0,2.057472889,-0.356273458,-0.140482337,-0.133897854,-0.366873406,-0.502833945,-0.508159418,0
14879,Returning Visitor,-0.570571304,referral,Richmond Hill,1.229623728,No,-0.446841631,-0.19614651,-0.25051925,1.035001553,1,0,-0.682076975,-0.356273458,-0.140482337,-0.133897854,-0.374348774,-0.502833945,-0.488815999,0
14881,New Visitor,0.212747334,organic,Alappuzha,1.366512424,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,0,-0.614953726,-0.356273458,-0.140482337,-0.133897854,-0.374348774,-0.435208261,-0.433497695,0
14882,Returning Visitor,0.851593358,(none),Dunstable,1.366512424,Yes,-0.446841631,-0.127192162,-0.07363823,1.035001553,1,1,-0.579417888,-0.356273458,-0.140482337,-0.133897854,-0.374348774,-0.435208261,-0.37817939,0
14885,New Visitor,0.967567264,referral,Saratoga,-1.508150189,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.287793693,-0.356273458,-0.140482337,-0.133897854,-0.374348774,-0.435208261,-0.322861085,0
14889,Returning Visitor,0.960838403,(none),Rocklin,-1.234372797,No,-0.446841631,-0.265100858,-0.13259857,1.035001553,1,1,-0.47017809,-0.356273458,-0.140482337,-0.133897854,-0.374348774,-0.435208261,-0.281379275,0
14890,Returning Visitor,0.154958288,(none),Reading,-1.234372797,No,-0.446841631,-0.265100858,-0.30947959,1.035001553,1,1,-0.112713885,-0.356273458,-0.140482337,-0.133897854,-0.374348774,-0.435208261,-0.281379275,0
14891,Returning Visitor,-0.174755923,organic,Port-of-Spain,-0.686818014,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,1,-0.203659307,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,0
14892,Returning Visitor,0.661601975,organic,Cleveland,-0.686818014,No,0.252434377,-0.19614651,0.142549682,1.035001553,1,0,-0.300000912,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,0
14893,Returning Visitor,-0.250752476,(none),Toronto,-0.549929318,No,-0.446841631,-0.058237814,1.125222014,1.035001553,1,1,0.223428817,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,0
14894,New Visitor,-0.891973392,organic,Brisbane,-0.549929318,No,-0.446841631,-0.299578032,-0.30947959,1.035001553,1,0,-0.382884963,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,0
14895,Returning Visitor,1.484502151,(none),New York,-0.413040622,Yes,0.252434377,-0.058237814,1.02695478,1.035001553,1,1,-0.04822292,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,0
14897,Returning Visitor,-0.413828413,referral,Doha,0.545180249,No,-0.446841631,0.286533925,-0.211212357,1.035001553,1,0,-0.079941946,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,0
14898,Returning Visitor,-0.636276657,referral,Riyadh,0.818957641,No,0.951710384,-0.230623684,-0.230865803,1.035001553,1,1,0.869654608,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.281379275,1
14899,New Visitor,0.321992379,organic,London,1.366512424,No,0.951710384,-0.299578032,-0.30947959,1.035001553,1,0,0.731064841,0.026886791,-0.283738512,-0.17497286,-0.374348774,-0.435208261,-0.22606097,0
14900,Returning Visitor,-0.764916655,organic,Markham,1.366512424,No,0.252434377,-0.265100858,-0.30947959,1.035001553,1,1,0.342539681,4.71099742,1.298407994,-0.140715145,-0.374348774,-0.435208261,-0.203950252,1
14901,Returning Visitor,-0.192567616,(none),Central Manchester,1.366512424,Yes,1.650986392,3.251570883,1.911359878,1.035001553,1,0,0.696976759,4.71099742,1.298407994,-0.140715145,-0.374348774,-0.435208261,-0.203950252,0
14902,Returning Visitor,-0.812414501,(none),Thane,1.50340112,No,0.252434377,-0.265100858,-0.30947959,1.035001553,1,0,-0.090471083,-0.33080893,-0.404556972,-0.208305771,-0.374348774,-0.435208261,-0.203950252,0
14903,Returning Visitor,-0.470034197,organic,New York,-1.645038884,No,-0.446841631,1.665620882,3.070913229,1.035001553,1,0,0.20039633,-0.33080893,-0.404556972,-0.208305771,-0.374348774,-0.435208261,-0.203950252,0
14904,Returning Visitor,0.047296505,organic,Garden City,-1.645038884,No,-0.446841631,-0.230623684,-0.270172697,1.035001553,1,0,-0.206949663,-0.339325495,-0.404556972,-0.207507699,-0.374348774,-0.435208261,-0.203950252,0
14905,Returning Visitor,-0.453805766,referral,Lagos,-1.645038884,No,0.252434377,-0.265100858,-0.289826143,1.035001553,1,1,0.220138462,-0.339325495,-0.370037412,-0.205225373,-0.374348774,-0.435208261,-0.203950252,0
14906,Returning Visitor,0.481901793,referral,Riyadh,-1.508150189,No,0.252434377,-0.19614651,-0.230865803,1.035001553,1,1,1.969949437,-0.339325495,-0.370037412,-0.202943048,-0.052907943,-0.266144053,-0.391932865,0
14907,New Visitor,0.278056872,organic,Sydney,-1.234372797,No,2.3502624,-0.299578032,-0.30947959,1.035001553,1,0,3.60788833,-0.339325495,-0.370037412,-0.200660723,-0.052907943,-0.266144053,-0.391932865,0
14908,Returning Visitor,0.298639271,organic,Springfield,-0.686818014,No,2.3502624,-0.265100858,-0.30947959,1.035001553,1,0,0.062727862,-0.339325495,-0.370037412,-0.198949264,-0.090284784,-0.294321421,-0.40576936,0
14909,Returning Visitor,0.373448378,organic,Melbourne,-0.549929318,No,-0.446841631,-0.265100858,-0.289826143,1.035001553,1,1,-0.189181744,-0.339325495,-0.370037412,-0.198949264,-0.090284784,-0.294321421,-0.281268583,0
14910,Returning Visitor,-0.47834632,(none),George Town,-0.413040622,No,0.252434377,0.010716534,0.633885848,1.035001553,1,0,-0.395618638,-0.339325495,-0.370037412,-0.197236664,-0.329496565,-0.294321421,-0.24532137,0
